episode_id,from_grade,to_grade,ramp_len,off_spec,stabilization_step,time_to_stabilize_s
192,GSM_100,GSM_60,117,True,360,1200
193,GSM_100,GSM_60,78,True,360,1200
194,GSM_60,GSM_100,134,True,257,685
195,GSM_80,GSM_60,81,True,360,1200
196,GSM_100,GSM_80,137,True,360,1200
197,GSM_100,GSM_80,104,True,360,1200
198,GSM_100,GSM_80,112,True,360,1200
199,GSM_60,GSM_80,94,False,214,470
200,GSM_60,GSM_100,70,True,201,405
201,GSM_60,GSM_80,77,True,199,395
202,GSM_100,GSM_60,69,True,360,1200
203,GSM_60,GSM_100,69,True,199,395
204,GSM_80,GSM_60,135,True,360,1200
205,GSM_60,GSM_100,82,True,211,455
206,GSM_60,GSM_80,80,False,200,400
207,GSM_100,GSM_60,83,True,360,1200
208,GSM_60,GSM_100,97,True,223,515
209,GSM_100,GSM_80,67,True,360,1200
210,GSM_100,GSM_80,127,True,360,1200
211,GSM_100,GSM_80,106,True,360,1200
212,GSM_60,GSM_100,106,True,230,550
213,GSM_80,GSM_100,95,False,215,475
214,GSM_100,GSM_60,77,True,360,1200
215,GSM_60,GSM_80,96,False,216,480
216,GSM_100,GSM_60,70,True,360,1200
217,GSM_60,GSM_80,75,True,196,380
218,GSM_60,GSM_80,63,True,186,330
219,GSM_100,GSM_60,114,True,360,1200
220,GSM_80,GSM_60,98,True,360,1200
221,GSM_100,GSM_80,84,True,360,1200
222,GSM_80,GSM_100,137,False,257,685
223,GSM_100,GSM_60,90,True,360,1200
224,GSM_60,GSM_100,120,True,243,615
225,GSM_60,GSM_100,62,True,194,370
226,GSM_60,GSM_100,105,True,232,560
227,GSM_80,GSM_100,100,False,220,500
228,GSM_80,GSM_60,122,True,360,1200
229,GSM_100,GSM_80,109,True,360,1200
230,GSM_80,GSM_60,88,True,360,1200
231,GSM_80,GSM_100,75,False,195,375
232,GSM_80,GSM_100,92,False,212,460
233,GSM_60,GSM_80,113,False,233,565
234,GSM_60,GSM_80,99,False,219,495
235,GSM_100,GSM_60,106,True,360,1200
236,GSM_80,GSM_60,116,True,360,1200
237,GSM_60,GSM_80,80,False,200,400
238,GSM_60,GSM_100,106,True,231,555
239,GSM_100,GSM_80,68,True,360,1200
240,GSM_60,GSM_100,126,True,250,650
241,GSM_100,GSM_80,97,True,360,1200
242,GSM_60,GSM_80,80,True,201,405
243,GSM_80,GSM_60,93,True,360,1200
244,GSM_60,GSM_100,100,True,227,535
245,GSM_100,GSM_60,124,True,360,1200
246,GSM_60,GSM_100,130,True,254,670
247,GSM_60,GSM_80,120,False,240,600
248,GSM_100,GSM_80,125,True,360,1200
249,GSM_60,GSM_100,101,True,228,540
250,GSM_60,GSM_100,90,True,217,485
251,GSM_80,GSM_60,71,True,360,1200
252,GSM_60,GSM_100,72,True,203,415
253,GSM_60,GSM_100,114,True,239,595
254,GSM_60,GSM_80,97,False,217,485
255,GSM_100,GSM_80,68,True,360,1200
256,GSM_100,GSM_80,105,True,360,1200
257,GSM_80,GSM_100,135,False,255,675
258,GSM_60,GSM_80,96,False,216,480
259,GSM_100,GSM_80,124,True,360,1200
260,GSM_60,GSM_100,111,True,237,585
261,GSM_80,GSM_60,72,True,360,1200
262,GSM_80,GSM_60,70,True,360,1200
263,GSM_100,GSM_60,66,True,360,1200
264,GSM_80,GSM_60,63,True,360,1200
265,GSM_60,GSM_100,63,True,193,365
266,GSM_100,GSM_60,76,True,360,1200
267,GSM_100,GSM_80,91,True,360,1200
268,GSM_80,GSM_60,87,True,360,1200
269,GSM_80,GSM_60,64,True,360,1200
270,GSM_80,GSM_60,128,True,360,1200
271,GSM_60,GSM_100,92,True,218,490
272,GSM_100,GSM_80,89,True,360,1200
273,GSM_100,GSM_60,105,True,360,1200
274,GSM_80,GSM_60,74,True,360,1200
275,GSM_100,GSM_60,69,True,360,1200
276,GSM_60,GSM_80,93,False,213,465
277,GSM_60,GSM_80,90,False,210,450
278,GSM_60,GSM_100,87,True,215,475
279,GSM_60,GSM_80,101,False,221,505
280,GSM_80,GSM_100,69,True,190,350
281,GSM_80,GSM_60,90,True,360,1200
282,GSM_100,GSM_80,113,True,360,1200
283,GSM_80,GSM_100,130,False,250,650
284,GSM_80,GSM_100,81,False,201,405
285,GSM_100,GSM_80,111,True,360,1200
286,GSM_80,GSM_60,132,True,360,1200
287,GSM_80,GSM_60,98,True,360,1200
288,GSM_60,GSM_80,106,False,226,530
289,GSM_60,GSM_80,100,False,220,500
290,GSM_60,GSM_100,94,True,222,510
291,GSM_80,GSM_100,121,False,241,605
292,GSM_100,GSM_80,91,True,360,1200
293,GSM_100,GSM_80,76,True,360,1200
294,GSM_80,GSM_100,108,False,228,540
295,GSM_60,GSM_100,115,True,240,600
296,GSM_80,GSM_100,135,False,255,675
297,GSM_80,GSM_100,129,False,249,645
298,GSM_100,GSM_80,69,True,360,1200
299,GSM_100,GSM_80,91,True,360,1200
300,GSM_60,GSM_80,77,False,197,385
301,GSM_80,GSM_100,93,False,213,465
302,GSM_80,GSM_60,108,True,360,1200
303,GSM_80,GSM_60,104,True,360,1200
304,GSM_80,GSM_100,104,False,224,520
305,GSM_100,GSM_80,119,True,360,1200
306,GSM_80,GSM_60,66,True,360,1200
307,GSM_80,GSM_100,90,False,210,450
308,GSM_80,GSM_60,117,True,360,1200
309,GSM_100,GSM_80,103,True,360,1200
310,GSM_80,GSM_60,96,True,360,1200
311,GSM_80,GSM_100,130,False,250,650
312,GSM_100,GSM_60,128,True,360,1200
313,GSM_80,GSM_60,65,True,360,1200
314,GSM_80,GSM_60,121,True,360,1200
315,GSM_100,GSM_80,111,True,360,1200
316,GSM_80,GSM_60,139,True,360,1200
317,GSM_100,GSM_80,63,True,360,1200
318,GSM_100,GSM_80,82,True,360,1200
319,GSM_100,GSM_80,91,True,360,1200
320,GSM_60,GSM_100,88,True,215,475
321,GSM_60,GSM_80,73,True,196,380
322,GSM_80,GSM_60,88,True,360,1200
323,GSM_80,GSM_100,65,True,186,330
324,GSM_100,GSM_80,67,True,360,1200
325,GSM_60,GSM_80,90,False,210,450
326,GSM_100,GSM_60,68,True,360,1200
327,GSM_100,GSM_80,114,True,360,1200
328,GSM_100,GSM_80,123,True,360,1200
329,GSM_100,GSM_60,63,True,360,1200
330,GSM_100,GSM_80,123,True,360,1200
331,GSM_100,GSM_60,109,True,360,1200
332,GSM_80,GSM_100,131,False,251,655
333,GSM_100,GSM_80,115,True,360,1200
334,GSM_100,GSM_60,84,True,360,1200
335,GSM_60,GSM_80,139,False,259,695
336,GSM_60,GSM_100,94,True,220,500
337,GSM_60,GSM_80,83,False,203,415
338,GSM_80,GSM_100,72,False,192,360
339,GSM_60,GSM_100,122,True,246,630
340,GSM_100,GSM_80,67,True,360,1200
341,GSM_60,GSM_100,85,True,212,460
342,GSM_60,GSM_80,110,False,230,550
343,GSM_100,GSM_80,95,True,360,1200
344,GSM_60,GSM_100,110,True,236,580
345,GSM_60,GSM_80,74,True,195,375
346,GSM_60,GSM_100,118,True,242,610
347,GSM_100,GSM_80,108,True,360,1200
348,GSM_100,GSM_80,81,True,360,1200
349,GSM_80,GSM_100,139,False,259,695
350,GSM_60,GSM_100,127,True,249,645
351,GSM_60,GSM_80,89,False,209,445
352,GSM_80,GSM_100,61,True,184,320
353,GSM_100,GSM_80,135,True,360,1200
354,GSM_60,GSM_80,85,False,205,425
355,GSM_100,GSM_80,72,True,360,1200
356,GSM_60,GSM_100,76,True,205,425
357,GSM_80,GSM_60,75,True,360,1200
358,GSM_100,GSM_60,124,True,360,1200
359,GSM_60,GSM_80,99,False,219,495
360,GSM_80,GSM_60,96,True,360,1200
361,GSM_80,GSM_60,90,True,360,1200
362,GSM_60,GSM_80,112,False,232,560
363,GSM_80,GSM_60,139,True,360,1200
364,GSM_100,GSM_80,78,True,360,1200
365,GSM_100,GSM_80,106,True,360,1200
366,GSM_60,GSM_80,103,False,223,515
367,GSM_100,GSM_80,65,True,360,1200
368,GSM_100,GSM_60,130,True,360,1200
369,GSM_80,GSM_60,130,True,360,1200
370,GSM_100,GSM_80,134,True,360,1200
371,GSM_60,GSM_100,99,True,225,525
372,GSM_100,GSM_80,112,True,360,1200
373,GSM_100,GSM_80,66,True,360,1200
374,GSM_60,GSM_100,97,True,225,525
375,GSM_100,GSM_60,81,True,360,1200
376,GSM_100,GSM_80,64,True,360,1200
377,GSM_60,GSM_80,92,False,212,460
378,GSM_60,GSM_80,95,False,215,475
379,GSM_100,GSM_80,115,True,360,1200
380,GSM_100,GSM_80,98,True,360,1200
381,GSM_100,GSM_60,101,True,360,1200
382,GSM_80,GSM_100,93,False,213,465
383,GSM_100,GSM_80,83,True,360,1200
384,GSM_80,GSM_100,64,True,186,330
385,GSM_60,GSM_80,138,False,258,690
386,GSM_80,GSM_60,125,True,360,1200
387,GSM_80,GSM_60,107,True,360,1200
388,GSM_80,GSM_100,94,False,214,470
389,GSM_100,GSM_80,134,True,360,1200
390,GSM_100,GSM_60,110,True,360,1200
391,GSM_60,GSM_100,110,True,235,575
392,GSM_60,GSM_80,78,False,198,390
393,GSM_60,GSM_80,106,False,226,530
394,GSM_80,GSM_100,129,False,249,645
395,GSM_60,GSM_100,63,True,193,365
396,GSM_100,GSM_80,131,True,360,1200
397,GSM_100,GSM_80,139,True,360,1200
398,GSM_60,GSM_100,137,True,261,705
399,GSM_80,GSM_100,133,False,253,665
